miles_used,mpg,link,drive_type,list_type,title,color,price,engine
,,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496596376&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&clickType=alpha,,Reduced Price,Used 2017 Porsche Panamera,,"$83,700",
"2,832 miles",27 City / 31 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=497627593&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=HONDA&modelCode1=HONHRV&digitalRetail=true&clickType=listing,All wheel drive,Reduced Price,Used 2018 Honda HR-V AWD EX-L w/ Navigation,,"$25,599",4-Cylinder
"7,632 miles",21 City / 29 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496807024&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=FORD&modelCode1=EDGE&digitalRetail=true&clickType=listing,2 wheel drive - front,Reduced Price,Used 2018 Ford Edge FWD SE,Blue,"$21,999",4-Cylinder Turbo
"22,845 miles",,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496231614&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=FORD&modelCode1=FOCUS&clickType=listing,2 wheel drive - front,Reduced Price,Used 2015 Ford Focus SE Sedan,Gray,"$12,225",4-Cylinder
"18,091 miles",25 City / 38 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=494769685&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=VOLKS&modelCode1=PASS&clickType=listing,2 wheel drive - front,Reduced Price,Used 2016 Volkswagen Passat 1.8T SE,White,"$16,750",4-Cylinder Turbo
"15,332 miles",27 City / 36 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=493803064&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=HONDA&modelCode1=ACCORD&clickType=listing,2 wheel drive - front,Reduced Price,Used 2015 Honda Accord EX Sedan,Black,"$17,350",4-Cylinder
"24,183 miles",24 City / 35 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=494311887&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=HYUND&modelCode1=ELANTR&clickType=listing,2 wheel drive - front,Reduced Price,Used 2015 Hyundai Elantra Sport Sedan,Silver,"$13,706",4-Cylinder
"8,814 miles",26 City / 36 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496968283&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=HYUND&modelCode1=ACCENT&clickType=listing,2 wheel drive - front,Reduced Price,Used 2016 Hyundai Accent SE Sedan,Black,"$10,880",4-Cylinder
"19,664 miles",20 City / 29 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=497100915&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=CHEV&modelCode1=EQUINOX&clickType=listing,All wheel drive,Reduced Price,Certified 2015 Chevrolet Equinox AWD LT,White,"$18,980",4-Cylinder
"24,086 miles",19 City / 29 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=494985778&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=FORD&modelCode1=TAURUS&digitalRetail=true&clickType=listing,2 wheel drive - front,Reduced Price,Used 2015 Ford Taurus SE,Black,"$14,750",4-Cylinder Turbo
"29,206 miles",19 City / 29 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=494985777&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=FORD&modelCode1=TAURUS&digitalRetail=true&clickType=listing,2 wheel drive - front,Reduced Price,Used 2015 Ford Taurus SE,Black,"$14,325",4-Cylinder Turbo
"23,789 miles",22 City / 33 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=493577467&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=BMW&modelCode1=BMW328GTXD&digitalRetail=true&clickType=listing,All wheel drive,Reduced Price,Used 2015 BMW 328i Gran Turismo xDrive,,"$24,425",4-Cylinder Turbo
"38,129 miles",24 City / 31 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=494904953&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=HYUND&modelCode1=VELOSTER&digitalRetail=true&clickType=listing,2 wheel drive - front,Reduced Price,Used 2014 Hyundai Veloster,Gray,"$12,225",4-Cylinder
"11,511 miles",19 City / 30 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=497916380&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=CHRY&modelCode1=300&digitalRetail=true&clickType=listing,2 wheel drive - rear,Newly Listed,Used 2018 Chrysler 300 Limited,Gray,"$20,950",6-Cylinder
"5,130 miles",17 City / 22 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=494985758&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=CHEV&modelCode1=CHEV150&digitalRetail=true&clickType=listing,4 wheel drive - rear,Reduced Price,Used 2017 Chevrolet Silverado 1500 W/T,Blue,"$27,325",8-Cylinder
"15,725 miles",22 City / 29 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=494743302&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=FORD&modelCode1=ESCAPE&clickType=listing,4 wheel drive - front,Reduced Price,Used 2016 Ford Escape 4WD Titanium,Black,"$21,333",4-Cylinder Turbo
"36,942 miles",27 City / 38 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=495386661&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=FORD&modelCode1=FOCUS&clickType=listing,2 wheel drive - front,Reduced Price,Used 2013 Ford Focus Titanium Hatchback,Silver,"$10,881",4-Cylinder
"10,875 miles",22 City / 31 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=494273702&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=LINC&modelCode1=MKZ&clickType=listing,All wheel drive,Reduced Price,Used 2016 Lincoln MKZ AWD,White,"$22,999",4-Cylinder Turbo
"8,725 miles",16 City / 23 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=495386655&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=LINC&modelCode1=MKX&clickType=listing,All wheel drive,Reduced Price,Certified 2016 Lincoln MKX AWD Reserve,Black,"$35,891",6-Cylinder
"19,663 miles",22 City / 34 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=495386666&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=FORD&modelCode1=FUSION&clickType=listing,2 wheel drive - front,Reduced Price,Used 2016 Ford Fusion SE,Silver,"$14,999",4-Cylinder Turbo
"38,682 miles",22 City / 34 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=497783128&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=FORD&modelCode1=FUSION&clickType=listing,2 wheel drive - front,Reduced Price,Used 2014 Ford Fusion SE,Red,"$12,844",4-Cylinder Turbo
"10,598 miles",27 City / 36 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496798119&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=FORD&modelCode1=FIESTA&clickType=listing,2 wheel drive - front,Reduced Price,Used 2016 Ford Fiesta Titanium Hatchback,Silver,"$13,691",4-Cylinder
"9,810 miles",27 City / 37 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496747290&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=FORD&modelCode1=FIESTA&clickType=listing,2 wheel drive - front,Reduced Price,Used 2017 Ford Fiesta Titanium Hatchback,Black,"$14,491",4-Cylinder
"13,274 miles",22 City / 33 Highway,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=496952368&zip=20005&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D20005%26startYear%3D1981%26sortBy%3Drelevance%26incremental%3Dall%26firstRecord%3D0%26marketExtension%3Don%26endYear%3D2019%26searchRadius%3D50&startYear=1981&numRecords=25&firstRecord=0&endYear=2019&searchRadius=50&makeCode1=FORD&modelCode1=FUSION&clickType=listing,2 wheel drive - front,Reduced Price,Used 2015 Ford Fusion Titanium,Brown,"$18,743",4-Cylinder Turbo
